Book,Start,End,Section,Genre,url
1 Corinthians,1:1,16:24,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/1%20Corinthians.txt
2 Corinthians,1:1,13:14,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/2%20Corinthians.txt
Galatians,1:1,6:18,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Galatians.txt
Ephesians,1:1,6:24,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Ephesians.txt
Philippians,1:1,4:23,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Philippians.txt
Colossians,1:1,4:18,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Colossians.txt
1 Thessalonians,1:1,5:28,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/1%20Thessalonians.txt
2 Thessalonians,1:1,3:18,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/2%20Thessalonians.txt
1 Timothy,1:1,6:21,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/1%20Timothy.txt
2 Timothy,1:1,4:22,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/2%20Timothy.txt
Titus,1:1,3:15,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Titus.txt
Philemon,1,25,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Philemon.txt
Hebrews,1:1,13:25,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Hebrews.txt
James,1:1,5:20,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/James.txt
1 Peter,1:1,5:14,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/1%20Peter.txt
2 Peter,1:1,3:18,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/2%20Peter.txt
1 John,1:1,5:21,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/1%20John.txt
2 John,1,13,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/2%20John.txt
3 John,1,15,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/3%20John.txt
Jude,1,25,New Testament,Epistle,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Jude.txt
Revelation,1:1,22:21,New Testament,Prophecy,https://raw.githubusercontent.com/logicalschema/data620/main/Week8/data/bible/original/Revelation.txt
