,State,Status,Name,NameLink,Party,Twitter,TwitterLink,Instagram,InstagramLink,Facebook,FacebookLink
30,South Carolina,U.S. Senator,"Graham, Lindsey",https://www.lgraham.senate.gov/public/,R,@LindsayGrahamSC,https://twitter.com/LindseyGrahamSC?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@lindseygrahamsc,https://www.instagram.com/lindseygrahamsc/?hl=en,x,https://www.facebook.com/USSenatorLindseyGraham
31,Iowa,U.S. Senator,"Grassley, Chuck",https://www.grassley.senate.gov/,R,@ChuckGrassley,https://twitter.com/ChuckGrassley?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatorchuckgrassley,https://www.instagram.com/senatorchuckgrassley/?hl=en,x,https://www.facebook.com/grassley
32,Tennessee,U.S. Senator,"Hagerty, Bill",https://www.hagerty.senate.gov/,R,@BillHagertyTN,https://twitter.com/billhagertyTN,@billhagertyTN,https://www.instagram.com/billhagertyTN,x,https://www.facebook.com/BillHagertyTN/
33,New Hampshire,U.S. Senator,"Hassan, Maggie",https://www.hassan.senate.gov/,D,@Maggie_Hassan,https://twitter.com/SenatorHassan?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatorhassan,https://www.instagram.com/senatorhassan/?hl=en,x,https://www.facebook.com/SenatorHassan
34,Missouri,U.S. Senator,"Hawley, Josh",https://www.hawley.senate.gov/,R,@HawleyMO,https://twitter.com/HawleyMO?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@joshhawleymo,https://www.instagram.com/joshhawleymo/?hl=en,x,https://www.facebook.com/SenatorHawley/
35,New Mexico,U.S. Senator,"Heinrich, Martin",https://www.heinrich.senate.gov/,D,@MartinHeinrich,https://twitter.com/MartinHeinrich?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatormartinheinrich,https://www.instagram.com/senatormartinheinrich/?hl=en,x,https://www.facebook.com/MartinHeinrich
36,Colorado,U.S. Senator,"Hickenlooper, John",,D,@SenatorHick,https://twitter.com/senatorhick,@senatorhick,https://www.instagram.com/senatorhick/,x,https://www.facebook.com/SenatorHick
37,Hawaii,U.S. Senator,"Hirono, Mazie",https://www.hirono.senate.gov/,D,@maziehirono,https://twitter.com/maziehirono?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@maziehirono,https://www.instagram.com/maziehirono/?hl=en,x,https://www.facebook.com/mazie.hirono
38,North Dakota,U.S. Senator,"Hoeven, John",https://www.hoeven.senate.gov/,R,@SenJohnHoeven,https://twitter.com/SenJohnHoeven?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senjohnhoeven,https://www.instagram.com/senjohnhoeven/?hl=en,x,https://www.facebook.com/SenatorJohnHoeven
39,Mississippi,U.S. Senator,"Hyde-Smith, Cindy",https://www.hydesmith.senate.gov/,R,@SenHydeSmith,https://twitter.com/SenHydeSmith?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@sencindyhydesmith,https://www.instagram.com/sencindyhydesmith/?hl=en,x,https://www.facebook.com/SenatorCindyHydeSmith/
