SenAlexPadilla,SenatorBaldwin
SenatorBaldwin,SenAlexPadilla
SenBlumenthal,SenAlexPadilla
CoryBooker,SenAlexPadilla
SenSherrodBrown,SenAlexPadilla
SenatorCantwell,SenAlexPadilla
SenatorCardin,SenAlexPadilla
SenatorCarper,SenAlexPadilla
SenBobCasey,SenAlexPadilla
SenAlexPadilla,SenatorDurbin
SenatorDurbin,SenAlexPadilla
SenAlexPadilla,SenFeinstein
SenFeinstein,SenAlexPadilla
SenAlexPadilla,MartinHeinrich
MartinHeinrich,SenAlexPadilla
SenAlexPadilla,SenatorHick
SenatorHick,SenAlexPadilla
SenAlexPadilla,maziehirono
maziehirono,SenAlexPadilla
SenMarkKelly,SenAlexPadilla
SenAlexPadilla,SenAngusKing
SenAngusKing,SenAlexPadilla
SenAlexPadilla,amyklobuchar
amyklobuchar,SenAlexPadilla
SenAlexPadilla,SenatorLujan
SenatorLujan,SenAlexPadilla
SenAlexPadilla,Sen_JoeManchin
Sen_JoeManchin,SenAlexPadilla
SenMarkey,SenAlexPadilla
SenAlexPadilla,RogerMarshallMD
SenatorMenendez,SenAlexPadilla
SenAlexPadilla,SenJeffMerkley
SenJeffMerkley,SenAlexPadilla
lisamurkowski,SenAlexPadilla
ChrisMurphyCT,SenAlexPadilla
PattyMurray,SenAlexPadilla
ossoff,SenAlexPadilla
SenGaryPeters,SenAlexPadilla
SenAlexPadilla,SenatorRomney
SenAlexPadilla,SenJackyRosen
SenJackyRosen,SenAlexPadilla
SenAlexPadilla,SenatorRounds
SenSanders,SenAlexPadilla
SenSchumer,SenAlexPadilla
SenatorShaheen,SenAlexPadilla
SenAlexPadilla,SenTinaSmith
SenTinaSmith,SenAlexPadilla
SenAlexPadilla,SenStabenow
SenStabenow,SenAlexPadilla
SenAlexPadilla,ChrisVanHollen
ChrisVanHollen,SenAlexPadilla
SenAlexPadilla,SenWarren
SenWarren,SenAlexPadilla
SenAlexPadilla,SenWhitehouse
SenWhitehouse,SenAlexPadilla
SenAlexPadilla,RonWyden
RonWyden,SenAlexPadilla
SenCortezMasto,SenAlexPadilla
SenAlexPadilla,SenDuckworth
SenDuckworth,SenAlexPadilla
SenJohnBarrasso,SenatorBaldwin
SenatorBaldwin,SenBlumenthal
SenBlumenthal,SenatorBaldwin
RoyBlunt,SenatorBaldwin
SenatorBaldwin,CoryBooker
CoryBooker,SenatorBaldwin
JohnBoozman,SenatorBaldwin
SenatorBaldwin,SenSherrodBrown
SenSherrodBrown,SenatorBaldwin
SenatorBaldwin,SenatorBurr
SenatorBurr,SenatorBaldwin
SenatorBaldwin,SenatorCantwell
SenatorCantwell,SenatorBaldwin
SenatorBaldwin,SenCapito
SenCapito,SenatorBaldwin
SenatorBaldwin,SenatorCardin
