RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31
62119,5589,11433,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,519572.0,519917.0,519761.0,518955.0,518008.0,515296.0,511962.0,509728.0,508216.0,511068.0,512756.0,514366.0
62072,5676,11360,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,496252.0,497291.0,498937.0,498465.0,497544.0,495588.0,494062.0,492694.0,489929.0,487879.0,484408.0,483675.0
61784,5735,10308,Zip,NY,NY,New York,New York-Newark-Jersey City,Richmond County,558399.0,557743.0,554861.0,552983.0,552878.0,553460.0,554349.0,554039.0,556077.0,555682.0,554636.0,552905.0
62104,5756,11418,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,590923.0,591845.0,592986.0,593547.0,595624.0,594316.0,592261.0,589505.0,587775.0,588953.0,587371.0,586473.0
62101,5769,11415,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,298671.0,300311.0,299976.0,299089.0,298271.0,296965.0,293879.0,292688.0,292001.0,293108.0,293912.0,293157.0
62109,6259,11423,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,587800.0,591827.0,594994.0,595824.0,597214.0,597015.0,597032.0,596354.0,593669.0,594576.0,594091.0,595177.0
62081,6436,11369,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,652332.0,653283.0,653631.0,652419.0,651002.0,653113.0,657055.0,660230.0,658263.0,657020.0,656610.0,658960.0
61786,6442,10310,Zip,NY,NY,New York,New York-Newark-Jersey City,Richmond County,551155.0,550826.0,545813.0,541371.0,539846.0,539809.0,540196.0,537542.0,538335.0,537872.0,538263.0,535327.0
61779,6481,10303,Zip,NY,NY,New York,New York-Newark-Jersey City,Richmond County,397963.0,398422.0,397514.0,396610.0,394694.0,394146.0,392672.0,392016.0,391986.0,391522.0,390416.0,388479.0
62049,6502,11239,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,467556.0,474312.0,490340.0,504648.0,521599.0,525515.0,527812.0,526398.0,534608.0,539480.0,544496.0,547387.0
